State,,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,TotalFatalities
Massachusetts,SUV Fatalities,34,36,29,37,27,28,41,50,40,51,68,79,520
Massachusetts,Pickup Truck Fatalities,23,25,27,15,15,14,21,27,22,20,9,20,238
Massachusetts,Van Fatalities,11,11,5,13,13,12,12,6,5,10,6,6,110
Massachusetts,Other Light Truck Fatalities,2,1,2,1,2,2,4,3,1,1,0,0,19
Massachusetts,Motorcycle Fatalities,61,40,56,42,47,56,44,51,58,46,54,72,627
Massachusetts,Bus Fatalities,0,1,0,0,0,0,1,0,0,0,0,0,2
Massachusetts,Large Truck Fatalities,1,3,0,4,3,3,3,5,8,5,3,4,42
Massachusetts,Pedalcyclist Fatalities,7,5,16,6,8,12,10,12,4,5,10,5,100
Massachusetts,Pedestrian Fatalities,68,69,82,79,74,79,78,72,77,77,52,74,881
Massachusetts,Other Nonoccupant Fatalities,4,4,1,4,5,4,3,0,2,0,3,0,30
Massachusetts,Other Vehicle Fatalities,1,2,3,0,2,5,2,2,4,3,9,16,49
Massachusetts,Unknown Person Type Fatalities,0,0,0,0,0,0,0,0,0,0,0,0,0
Michigan,Highway Fatalities,942,889,940,947,901,967,"1,065","1,031",977,986,"1,086","1,136","11,867"
Michigan,Passenger Car Fatalities,374,354,389,353,335,342,377,388,369,370,299,316,"4,266"
Michigan,SUV Fatalities,105,89,94,107,119,121,140,141,140,149,229,228,"1,662"
Michigan,Pickup Truck Fatalities,76,91,93,91,88,95,97,80,91,95,96,116,"1,109"
Michigan,Van Fatalities,44,42,46,50,42,30,49,49,43,31,46,31,503
Michigan,Other Light Truck Fatalities,0,0,1,0,1,0,1,1,0,0,0,0,4
Michigan,Motorcycle Fatalities,137,118,138,138,112,141,152,150,143,134,167,174,"1,704"
Michigan,Bus Fatalities,2,4,0,1,3,0,0,0,0,0,0,0,10
Michigan,Large Truck Fatalities,8,7,10,7,9,11,12,15,10,16,7,20,132
Michigan,Pedalcyclist Fatalities,29,24,19,27,22,33,38,21,21,21,39,29,323
Michigan,Pedestrian Fatalities,128,138,130,148,148,166,163,156,142,141,172,174,"1,806"
Michigan,Other Nonoccupant Fatalities,10,5,7,3,5,6,5,7,5,4,7,15,79
Michigan,Other Vehicle Fatalities,32,16,14,22,16,19,27,23,13,17,21,31,251
Michigan,Unknown Person Type Fatalities,0,0,0,0,0,0,0,0,0,0,0,0,0
Minnesota,Highway Fatalities,411,368,395,387,361,411,392,358,381,364,394,488,"4,710"
Minnesota,Passenger Car Fatalities,187,164,158,156,154,159,144,124,135,134,115,152,"1,782"
Minnesota,SUV Fatalities,49,37,35,40,45,40,52,51,55,47,68,96,615
Minnesota,Pickup Truck Fatalities,25,40,48,40,45,66,41,40,43,43,46,56,533
Minnesota,Van Fatalities,37,23,29,23,26,14,13,21,17,14,16,18,251
Minnesota,Other Light Truck Fatalities,0,1,0,0,0,1,1,0,2,0,0,0,5
Minnesota,Motorcycle Fatalities,48,42,55,61,46,61,56,55,59,46,64,69,662
Minnesota,Bus Fatalities,0,1,0,0,1,1,0,1,1,0,0,0,5
Minnesota,Large Truck Fatalities,7,4,8,10,8,5,9,6,4,10,11,18,100
Minnesota,Pedalcyclist Fatalities,9,5,7,6,5,10,7,6,7,11,10,9,92
Minnesota,Pedestrian Fatalities,35,39,38,32,15,39,58,38,42,47,45,50,478
Minnesota,Other Nonoccupant Fatalities,1,3,5,3,4,7,2,2,2,2,2,5,38
Minnesota,Other Vehicle Fatalities,13,11,15,16,14,13,8,12,11,9,19,14,155
Minnesota,Unknown Person Type Fatalities,0,0,0,0,0,0,0,0,0,0,0,0,0
Mississippi,Highway Fatalities,641,630,582,613,607,677,687,685,663,642,748,772,"7,947"
Mississippi,Passenger Car Fatalities,266,221,225,232,262,257,272,307,261,288,289,289,"3,169"
Mississippi,SUV Fatalities,107,113,87,94,82,112,110,109,105,83,110,148,"1,260"
Mississippi,Pickup Truck Fatalities,144,147,132,140,113,161,130,104,114,113,124,130,"1,552"
Mississippi,Van Fatalities,12,20,19,20,13,14,24,16,11,18,12,16,195
Mississippi,Other Light Truck Fatalities,0,0,0,3,5,2,5,2,0,1,0,0,18
Mississippi,Motorcycle Fatalities,42,58,39,39,41,37,50,39,41,40,61,38,525
Mississippi,Bus Fatalities,0,3,2,0,0,0,0,5,2,0,1,0,13
Mississippi,Large Truck Fatalities,5,9,12,17,13,18,17,19,17,11,11,12,161
Mississippi,Pedalcyclist Fatalities,4,7,4,6,6,5,5,6,6,8,9,16,82
Mississippi,Pedestrian Fatalities,50,47,48,53,53,63,58,71,89,65,105,94,796
Mississippi,Other Nonoccupant Fatalities,0,0,3,0,1,0,3,0,1,2,0,1,11
Mississippi,Other Vehicle Fatalities,11,5,11,9,18,7,16,6,16,13,26,28,166
Mississippi,Unknown Person Type Fatalities,0,0,0,0,0,0,0,0,0,0,0,0,0
Missouri,Highway Fatalities,821,786,826,757,766,870,947,932,921,881,987,"1,016","10,510"
Missouri,Passenger Car Fatalities,320,320,344,323,298,332,366,355,350,305,364,313,"3,990"
Missouri,SUV Fatalities,96,108,85,91,102,112,118,143,134,124,170,188,"1,471"
Missouri,Pickup Truck Fatalities,155,129,134,108,124,144,143,132,133,115,121,132,"1,570"
Missouri,Van Fatalities,49,40,37,37,32,33,39,36,38,29,22,24,416
Missouri,Other Light Truck Fatalities,0,0,0,0,0,0,0,2,0,2,0,0,4
Missouri,Motorcycle Fatalities,95,82,104,74,91,97,128,121,113,123,122,158,"1,308"
Missouri,Bus Fatalities,1,0,0,0,0,0,0,1,0,1,0,0,3
Missouri,Large Truck Fatalities,13,18,18,19,19,20,21,17,31,26,21,30,253
Missouri,Pedalcyclist Fatalities,7,1,6,4,5,9,9,9,2,14,8,7,81
Missouri,Pedestrian Fatalities,55,75,84,73,65,104,96,96,95,109,128,117,"1,097"
Missouri,Other Nonoccupant Fatalities,2,5,6,1,3,0,6,5,9,8,4,5,54
Missouri,Other Vehicle Fatalities,26,12,11,25,26,16,24,16,22,27,30,43,278
Missouri,Unknown Person Type Fatalities,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,Highway Fatalities,189,209,205,229,192,224,190,186,181,184,213,239,"2,441"
Montana,Passenger Car Fatalities,57,72,63,69,54,69,53,52,43,51,64,54,701
Montana,SUV Fatalities,33,37,35,35,35,39,41,43,37,27,29,64,455
Montana,Pickup Truck Fatalities,45,51,54,53,47,53,43,40,44,36,48,46,560
Montana,Van Fatalities,12,4,4,4,9,4,7,6,8,3,9,9,79
Montana,Other Light Truck Fatalities,0,0,1,0,0,5,1,1,0,0,0,0,8
Montana,Motorcycle Fatalities,25,20,30,35,23,24,17,22,21,23,25,26,291
Montana,Bus Fatalities,1,0,2,0,0,1,0,1,0,0,0,0,5
Montana,Large Truck Fatalities,2,3,4,2,1,2,6,3,5,10,9,10,57
Montana,Pedalcyclist Fatalities,0,1,1,1,2,1,3,1,2,3,0,3,18
Montana,Pedestrian Fatalities,8,15,8,24,10,14,11,14,15,16,17,18,170
Montana,Other Nonoccupant Fatalities,2,1,0,0,0,5,1,1,0,1,1,2,14
Montana,Other Vehicle Fatalities,5,6,3,6,11,11,8,3,6,14,11,9,93
Montana,Unknown Person Type Fatalities,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,Highway Fatalities,190,181,212,211,225,246,218,228,230,248,233,221,"2,643"
Nebraska,Passenger Car Fatalities,68,75,81,81,76,83,80,72,87,90,77,68,938
Nebraska,SUV Fatalities,29,22,24,33,36,43,29,30,34,48,35,47,410
Nebraska,Pickup Truck Fatalities,33,33,42,47,57,53,43,44,37,40,44,38,511
Nebraska,Van Fatalities,18,11,14,8,13,7,12,19,7,12,2,12,135
Nebraska,Other Light Truck Fatalities,0,0,0,0,1,0,1,1,0,1,0,0,4
Nebraska,Motorcycle Fatalities,14,23,22,14,20,25,20,27,23,25,33,21,267
Nebraska,Bus Fatalities,0,0,3,0,0,0,0,0,0,0,0,0,3
Nebraska,Large Truck Fatalities,11,3,8,6,7,5,15,6,12,6,13,17,109
Nebraska,Pedalcyclist Fatalities,2,2,0,0,2,4,1,3,0,1,1,1,17
Nebraska,Pedestrian Fatalities,8,7,15,12,9,19,12,20,24,20,18,15,179
Nebraska,Other Nonoccupant Fatalities,0,0,0,6,2,2,7,1,0,2,2,2,24
Nebraska,Other Vehicle Fatalities,6,5,3,8,4,6,5,6,6,4,9,2,64
Nebraska,Unknown Person Type Fatalities,0,0,0,0,0,0,0,0,0,0,0,0,0
Nevada,Highway Fatalities,257,246,261,266,291,326,329,311,329,304,333,385,"3,638"
Nevada,Passenger Car Fatalities,91,73,89,71,88,96,87,83,101,91,88,79,"1,037"
Nevada,SUV Fatalities,26,39,35,16,32,41,36,31,40,40,38,60,434
Nevada,Pickup Truck Fatalities,35,18,18,27,20,28,22,22,23,23,31,37,304
Nevada,Van Fatalities,6,7,6,11,4,9,7,8,8,4,4,15,89
Nevada,Other Light Truck Fatalities,2,0,0,0,1,3,1,0,0,0,0,0,7
Nevada,Motorcycle Fatalities,48,41,43,59,63,55,74,54,58,56,62,87,700
Nevada,Bus Fatalities,0,0,0,0,0,2,0,0,0,1,0,1,4
Nevada,Large Truck Fatalities,2,6,7,4,2,5,7,3,3,9,11,10,69
Nevada,Pedalcyclist Fatalities,6,4,3,7,8,10,6,9,8,8,11,6,86
Nevada,Pedestrian Fatalities,36,46,55,65,71,66,80,91,79,62,81,80,812
Nevada,Other Nonoccupant Fatalities,5,1,4,4,1,7,2,7,3,7,5,4,50
Nevada,Other Vehicle Fatalities,0,2,1,2,1,4,6,3,4,2,3,5,33
Nevada,Unknown Person Type Fatalities,0,0,0,0,0,0,0,0,0,0,0,0,0
New Hampshire,Highway Fatalities,128,90,108,135,95,114,136,102,147,101,104,118,"1,378"
New Hampshire,Passenger Car Fatalities,54,42,42,58,42,49,57,46,54,36,37,36,553
New Hampshire,SUV Fatalities,21,11,14,15,8,12,14,12,31,17,15,31,201
New Hampshire,Pickup Truck Fatalities,15,9,13,14,6,10,23,9,11,7,2,9,128
New Hampshire,Van Fatalities,1,4,1,4,2,3,1,3,2,1,2,2,26
New Hampshire,Other Light Truck Fatalities,0,0,0,0,0,0,1,0,0,0,0,0,1
New Hampshire,Motorcycle Fatalities,28,14,29,24,17,26,19,15,28,30,25,26,281
New Hampshire,Bus Fatalities,0,0,0,0,0,0,0,0,0,0,0,0,0
New Hampshire,Large Truck Fatalities,0,1,0,1,2,0,0,1,7,0,5,1,18
New Hampshire,Pedalcyclist Fatalities,0,4,0,4,3,3,2,2,2,0,2,2,24
New Hampshire,Pedestrian Fatalities,9,5,8,12,12,8,17,11,9,10,16,8,125
New Hampshire,Other Nonoccupant Fatalities,0,0,1,1,1,2,1,1,2,0,0,1,10
New Hampshire,Other Vehicle Fatalities,0,0,0,2,2,1,1,2,0,0,0,2,10
New Hampshire,Unknown Person Type Fatalities,0,0,0,0,0,0,0,0,0,0,0,0,0
New Jersey,Highway Fatalities,556,627,589,542,556,561,602,624,563,558,586,699,"7,063"
New Jersey,Passenger Car Fatalities,221,248,217,217,202,213,233,213,201,189,187,215,"2,556"
New Jersey,SUV Fatalities,56,67,58,51,48,49,54,72,52,46,81,83,717
New Jersey,Pickup Truck Fatalities,23,21,24,24,23,25,31,22,25,12,17,23,270
New Jersey,Van Fatalities,23,21,16,34,21,14,16,24,19,13,18,16,235
New Jersey,Other Light Truck Fatalities,0,0,0,3,0,2,2,0,0,0,0,0,7
New Jersey,Motorcycle Fatalities,70,93,77,56,62,50,71,83,53,85,74,99,873
New Jersey,Bus Fatalities,0,3,2,1,0,0,3,0,3,3,0,1,16
New Jersey,Large Truck Fatalities,8,12,13,9,13,10,7,6,13,11,6,17,125
New Jersey,Pedalcyclist Fatalities,13,17,14,14,11,18,18,17,18,13,18,23,194
New Jersey,Pedestrian Fatalities,139,142,156,129,168,170,163,183,173,174,174,212,"1,983"
New Jersey,Other Nonoccupant Fatalities,1,0,5,3,1,2,1,1,1,4,4,6,29
New Jersey,Other Vehicle Fatalities,3,2,4,1,4,8,2,3,4,5,7,4,47
New Jersey,Unknown Person Type Fatalities,0,0,0,0,0,0,0,0,0,0,0,0,0
New Mexico,Highway Fatalities,349,350,366,311,386,298,405,380,392,425,398,481,"4,541"
New Mexico,Passenger Car Fatalities,108,108,95,81,106,79,116,93,109,108,90,115,"1,208"
New Mexico,SUV Fatalities,57,50,45,46,38,45,72,59,49,65,79,80,685
New Mexico,Pickup Truck Fatalities,84,63,68,55,65,50,70,60,55,67,62,75,774
New Mexico,Van Fatalities,6,18,11,5,20,5,6,9,8,8,8,8,112
New Mexico,Other Light Truck Fatalities,0,0,1,2,2,3,2,1,1,0,0,0,12
New Mexico,Motorcycle Fatalities,41,47,64,41,46,38,47,53,46,55,44,51,573
New Mexico,Bus Fatalities,0,1,0,2,0,0,0,0,11,0,0,0,14
New Mexico,Large Truck Fatalities,7,12,9,16,17,12,9,19,16,26,13,26,182
New Mexico,Pedalcyclist Fatalities,8,4,7,4,5,7,4,2,11,9,8,6,75
New Mexico,Pedestrian Fatalities,33,39,61,49,75,54,74,75,83,83,79,102,807
New Mexico,Other Nonoccupant Fatalities,0,3,1,2,7,0,6,4,1,4,2,6,36
New Mexico,Other Vehicle Fatalities,5,5,5,8,12,5,2,5,2,4,13,14,80
New Mexico,Unknown Person Type Fatalities,0,0,0,0,0,0,0,0,0,0,0,0,0
New York,Highway Fatalities,"1,201","1,171","1,180","1,202","1,041","1,136","1,041","1,006",964,934,"1,045","1,157","13,078"
New York,Passenger Car Fatalities,441,400,404,423,375,368,330,343,302,256,312,307,"4,261"
New York,SUV Fatalities,97,104,108,93,90,113,91,118,98,113,141,161,"1,327"
New York,Pickup Truck Fatalities,55,54,67,59,49,49,64,47,54,38,33,59,628
New York,Van Fatalities,40,46,49,41,26,41,33,33,22,26,32,25,414
New York,Other Light Truck Fatalities,0,0,1,0,0,1,0,1,1,0,0,0,4
New York,Motorcycle Fatalities,184,170,170,170,148,163,136,145,152,136,194,218,"1,986"
New York,Bus Fatalities,5,18,0,0,3,4,0,1,0,4,1,0,36
New York,Large Truck Fatalities,15,7,10,16,14,15,17,13,10,17,18,14,166
New York,Pedalcyclist Fatalities,36,57,45,40,46,36,39,46,30,48,47,33,503
New York,Pedestrian Fatalities,303,287,303,336,264,311,307,246,268,274,229,293,"3,421"
New York,Other Nonoccupant Fatalities,9,7,6,6,7,7,11,5,4,5,15,7,89
New York,Other Vehicle Fatalities,15,20,15,16,17,20,10,7,23,14,28,36,221
New York,Unknown Person Type Fatalities,0,0,0,0,0,0,0,0,0,0,0,0,0
North Carolina,Highway Fatalities,"1,320","1,230","1,299","1,290","1,284","1,379","1,450","1,412","1,436","1,457","1,538","1,663","16,758"
North Carolina,Passenger Car Fatalities,535,482,512,533,517,605,582,581,560,568,600,604,"6,679"
North Carolina,SUV Fatalities,159,156,147,146,144,149,184,170,186,194,214,263,"2,112"
North Carolina,Pickup Truck Fatalities,168,155,129,149,152,154,174,149,164,150,179,192,"1,915"
North Carolina,Van Fatalities,48,39,42,43,52,39,55,51,47,44,41,58,559
North Carolina,Other Light Truck Fatalities,0,1,1,1,0,1,1,3,1,5,0,0,14
North Carolina,Motorcycle Fatalities,191,170,198,189,190,192,185,176,191,210,190,230,"2,312"
North Carolina,Bus Fatalities,0,1,0,0,0,0,4,0,0,1,0,1,7
North Carolina,Large Truck Fatalities,13,18,25,16,20,19,23,31,25,28,24,24,266
North Carolina,Pedalcyclist Fatalities,23,25,27,22,19,23,17,29,18,19,26,23,271
North Carolina,Pedestrian Fatalities,169,161,200,174,172,182,200,198,224,221,230,248,"2,379"
North Carolina,Other Nonoccupant Fatalities,3,5,8,1,3,7,9,5,3,7,5,6,62
North Carolina,Other Vehicle Fatalities,10,17,16,16,16,8,18,21,17,11,27,13,190
North Carolina,Unknown Person Type Fatalities,0,0,0,0,0,0,0,0,0,0,0,0,0
North Dakota,Highway Fatalities,105,148,170,148,135,131,113,116,105,100,100,101,"1,472"
North Dakota,Passenger Car Fatalities,28,39,42,38,39,36,36,26,22,24,20,21,371
North Dakota,SUV Fatalities,13,23,24,26,27,18,13,18,11,19,21,27,240
North Dakota,Pickup Truck Fatalities,26,47,53,43,33,45,25,31,35,19,18,10,385
North Dakota,Van Fatalities,6,5,12,5,6,1,3,5,6,5,2,10,66
North Dakota,Other Light Truck Fatalities,0,0,0,0,0,0,0,0,2,2,0,0,4
North Dakota,Motorcycle Fatalities,15,14,16,9,10,8,12,13,16,11,17,8,149
North Dakota,Bus Fatalities,0,0,0,0,0,3,0,0,0,0,0,0,3
North Dakota,Large Truck Fatalities,6,5,9,20,5,8,9,11,3,5,2,3,86
North Dakota,Pedalcyclist Fatalities,1,1,0,1,3,1,3,2,2,2,1,1,18
North Dakota,Pedestrian Fatalities,7,9,7,1,9,7,7,5,6,5,8,10,81
North Dakota,Other Nonoccupant Fatalities,1,0,3,1,0,2,1,3,0,1,0,0,12
North Dakota,Other Vehicle Fatalities,2,5,4,4,3,4,4,5,2,7,11,11,62
North Dakota,Unknown Person Type Fatalities,0,0,0,0,0,0,0,0,0,0,0,0,0
Ohio,Highway Fatalities,"1,080","1,017","1,121",989,"1,006","1,110","1,132","1,179","1,068","1,153","1,230","1,354","13,439"
Ohio,Passenger Car Fatalities,490,432,493,427,469,449,471,545,458,446,439,458,"5,577"
Ohio,SUV Fatalities,121,112,108,121,130,130,135,145,129,173,219,214,"1,737"
Ohio,Pickup Truck Fatalities,97,102,130,105,89,104,95,92,103,115,110,115,"1,257"
Ohio,Van Fatalities,61,47,58,46,42,58,40,43,35,45,22,67,564
Ohio,Other Light Truck Fatalities,0,0,2,0,2,4,4,0,3,1,0,0,16
Ohio,Motorcycle Fatalities,170,165,162,132,136,168,199,157,145,162,207,223,"2,026"
Ohio,Bus Fatalities,1,0,1,0,0,0,0,0,0,0,1,0,3
Ohio,Large Truck Fatalities,13,19,15,27,14,28,18,18,27,30,22,34,265
Ohio,Pedalcyclist Fatalities,11,16,18,19,11,25,18,19,22,25,18,30,232
Ohio,Pedestrian Fatalities,93,104,113,85,87,116,134,142,127,124,159,168,"1,452"
Ohio,Other Nonoccupant Fatalities,5,7,2,6,9,7,8,4,7,14,5,7,81
Ohio,Other Vehicle Fatalities,17,16,17,18,18,20,10,8,11,23,26,31,215
Ohio,Unknown Person Type Fatalities,0,0,0,0,0,0,0,0,0,0,0,0,0
Oklahoma,Highway Fatalities,668,696,709,678,669,645,687,657,655,640,653,762,"8,119"
Oklahoma,Passenger Car Fatalities,213,256,215,230,226,222,207,198,230,210,183,234,"2,624"
Oklahoma,SUV Fatalities,85,82,95,92,82,78,88,86,84,97,108,156,"1,133"
Oklahoma,Pickup Truck Fatalities,167,153,169,130,174,121,144,124,112,116,147,129,"1,686"
Oklahoma,Van Fatalities,21,20,27,22,18,21,31,27,19,12,15,12,245
Oklahoma,Other Light Truck Fatalities,0,0,3,0,0,0,0,0,0,0,0,0,3
Oklahoma,Motorcycle Fatalities,78,98,84,92,57,89,88,93,91,68,61,80,979
Oklahoma,Bus Fatalities,0,1,3,0,4,0,0,0,0,1,0,0,9
Oklahoma,Large Truck Fatalities,17,27,33,29,41,27,27,28,30,21,13,20,313
Oklahoma,Pedalcyclist Fatalities,9,1,5,13,4,6,5,6,16,13,12,12,102
Oklahoma,Pedestrian Fatalities,62,43,65,58,50,70,88,79,60,85,86,106,852
Oklahoma,Other Nonoccupant Fatalities,4,3,7,3,2,0,4,4,4,4,2,5,42
Oklahoma,Other Vehicle Fatalities,9,6,7,9,11,9,6,11,8,13,26,11,126
Oklahoma,Unknown Person Type Fatalities,0,0,0,0,0,0,0,0,0,0,0,0,0
Oregon,Highway Fatalities,317,331,337,313,357,446,498,439,502,493,507,599,"5,139"
Oregon,Passenger Car Fatalities,109,115,102,134,128,152,182,158,156,169,154,176,"1,735"
Oregon,SUV Fatalities,26,39,42,33,43,56,68,47,74,72,77,92,669
Oregon,Pickup Truck Fatalities,51,49,46,37,56,60,67,60,60,66,58,83,693
Oregon,Van Fatalities,9,12,7,11,5,20,24,14,21,11,17,19,170
Oregon,Other Light Truck Fatalities,0,0,2,1,0,1,1,6,0,0,0,0,11
Oregon,Motorcycle Fatalities,38,40,51,34,46,61,55,57,85,57,67,84,675
Oregon,Bus Fatalities,0,1,10,0,0,1,0,0,0,0,0,1,13
Oregon,Large Truck Fatalities,13,9,2,5,7,8,10,10,12,18,13,13,120
Oregon,Pedalcyclist Fatalities,7,15,10,3,7,8,10,10,9,11,14,18,122
Oregon,Pedestrian Fatalities,56,46,55,48,57,69,71,70,77,82,71,87,789
Oregon,Other Nonoccupant Fatalities,6,1,5,4,0,5,3,4,2,3,7,4,44
Oregon,Other Vehicle Fatalities,2,4,5,3,8,5,7,3,6,4,28,21,96
Oregon,Unknown Person Type Fatalities,0,0,0,0,0,0,0,0,0,0,0,0,0
Pennsylvania,Highway Fatalities,"1,324","1,286","1,310","1,210","1,195","1,200","1,188","1,137","1,190","1,059","1,129","1,230","14,458"
Pennsylvania,Passenger Car Fatalities,547,558,575,516,514,478,494,463,460,384,387,389,"5,765"
Pennsylvania,SUV Fatalities,158,166,151,140,130,144,136,136,148,159,176,216,"1,860"
Pennsylvania,Pickup Truck Fatalities,108,102,107,97,84,112,87,90,95,87,71,97,"1,137"
Pennsylvania,Van Fatalities,61,43,43,47,40,48,37,28,45,35,32,30,489
Pennsylvania,Other Light Truck Fatalities,0,0,0,1,0,2,2,0,0,0,0,0,5
Pennsylvania,Motorcycle Fatalities,223,199,210,182,185,178,191,187,165,176,209,222,"2,327"
Pennsylvania,Bus Fatalities,2,2,0,8,0,3,1,1,4,0,3,2,26
Pennsylvania,Large Truck Fatalities,28,29,19,31,28,30,26,32,20,27,26,29,325
Pennsylvania,Pedalcyclist Fatalities,21,11,16,11,19,16,16,22,18,14,20,21,205
Pennsylvania,Pedestrian Fatalities,145,147,163,147,161,151,170,147,197,147,143,176,"1,894"
Pennsylvania,Other Nonoccupant Fatalities,4,5,6,9,8,4,6,6,6,7,8,6,75
Pennsylvania,Other Vehicle Fatalities,25,27,20,20,26,32,20,21,32,22,51,38,334
Pennsylvania,Unknown Person Type Fatalities,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhode Island,Highway Fatalities,67,66,64,65,51,45,51,84,59,57,67,63,739
Rhode Island,Passenger Car Fatalities,28,29,27,29,17,18,19,35,18,26,29,27,302
Rhode Island,SUV Fatalities,7,3,11,3,3,5,6,6,8,7,3,11,73
Rhode Island,Pickup Truck Fatalities,3,2,8,4,3,3,4,4,4,2,2,2,41
Rhode Island,Van Fatalities,1,3,3,1,1,1,0,4,0,0,0,1,15
Rhode Island,Other Light Truck Fatalities,0,0,0,0,0,0,1,0,0,0,0,0,1
Rhode Island,Motorcycle Fatalities,15,15,8,11,10,9,4,11,18,13,12,13,139
Rhode Island,Bus Fatalities,1,0,0,0,0,0,0,0,0,0,0,0,1
Rhode Island,Large Truck Fatalities,0,0,0,0,1,1,1,1,0,0,1,0,5
Rhode Island,Pedalcyclist Fatalities,2,0,2,3,0,0,2,2,1,0,2,2,16
Rhode Island,Pedestrian Fatalities,9,14,5,14,14,8,14,21,7,8,17,7,138
Rhode Island,Other Nonoccupant Fatalities,1,0,0,0,1,0,0,4,1,0,0,0,7
Rhode Island,Other Vehicle Fatalities,0,0,0,0,1,0,0,0,2,0,1,0,4
Rhode Island,Unknown Person Type Fatalities,0,0,0,0,0,0,0,0,0,0,0,0,0
South Carolina,Highway Fatalities,809,828,863,767,823,979,"1,020",989,"1,036","1,006","1,066","1,198","11,384"
South Carolina,Passenger Car Fatalities,315,315,312,268,327,358,367,376,373,347,381,410,"4,149"
South Carolina,SUV Fatalities,122,122,116,94,106,121,118,133,137,128,168,203,"1,568"
South Carolina,Pickup Truck Fatalities,117,85,111,110,118,105,115,114,129,118,120,124,"1,366"
South Carolina,Van Fatalities,37,25,28,16,15,34,30,18,35,34,32,27,331
South Carolina,Other Light Truck Fatalities,0,0,0,0,1,0,3,2,3,2,0,0,11
South Carolina,Motorcycle Fatalities,101,129,146,149,121,185,186,145,141,154,136,177,"1,770"
South Carolina,Bus Fatalities,0,0,0,1,0,1,1,1,2,1,1,1,9
South Carolina,Large Truck Fatalities,7,23,9,10,10,24,20,19,21,23,16,19,201
South Carolina,Pedalcyclist Fatalities,14,15,13,15,14,16,25,17,23,26,14,23,215
South Carolina,Pedestrian Fatalities,90,113,123,100,107,123,144,155,165,163,188,190,"1,661"
South Carolina,Other Nonoccupant Fatalities,1,0,1,5,2,2,6,3,2,4,3,4,33
South Carolina,Other Vehicle Fatalities,5,1,4,3,2,10,7,6,4,7,10,20,79
South Carolina,Unknown Person Type Fatalities,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,Highway Fatalities,140,111,133,135,136,134,116,129,130,102,141,148,"1,555"
South Dakota,Passenger Car Fatalities,46,44,44,43,41,38,29,37,43,28,25,55,473
South Dakota,SUV Fatalities,12,14,25,20,19,18,21,19,25,13,24,30,240
South Dakota,Pickup Truck Fatalities,32,21,22,26,36,29,27,22,17,21,34,17,304
South Dakota,Van Fatalities,4,6,7,11,6,9,4,15,9,10,8,3,92
South Dakota,Other Light Truck Fatalities,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,Motorcycle Fatalities,27,14,25,22,17,31,22,16,16,14,27,22,253
South Dakota,Bus Fatalities,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,Large Truck Fatalities,6,2,1,2,4,1,2,8,5,4,4,2,41
South Dakota,Pedalcyclist Fatalities,2,1,0,0,2,1,0,0,0,1,0,0,7
South Dakota,Pedestrian Fatalities,9,7,2,9,9,6,6,10,10,7,14,14,103
South Dakota,Other Nonoccupant Fatalities,1,0,1,1,1,0,0,0,1,1,1,0,7
South Dakota,Other Vehicle Fatalities,2,2,7,2,2,1,5,2,4,3,5,5,40
South Dakota,Unknown Person Type Fatalities,0,0,0,0,0,0,0,0,0,0,0,0,0
Tennessee,Highway Fatalities,"1,032",937,"1,015",995,963,962,"1,037","1,024","1,040","1,136","1,217","1,327","12,685"
Tennessee,Passenger Car Fatalities,402,396,426,425,395,375,418,429,392,441,439,457,"4,995"
Tennessee,SUV Fatalities,143,126,117,114,118,129,146,118,145,144,183,254,"1,737"
Tennessee,Pickup Truck Fatalities,176,155,189,149,155,145,137,137,122,164,165,154,"1,848"
Tennessee,Van Fatalities,46,20,27,31,30,38,30,35,22,29,27,36,371
Tennessee,Other Light Truck Fatalities,1,0,2,0,0,1,1,0,2,1,0,0,8
Tennessee,Motorcycle Fatalities,137,115,139,138,120,123,147,135,168,155,148,166,"1,691"
Tennessee,Bus Fatalities,0,0,1,8,3,0,6,0,0,0,2,0,20
Tennessee,Large Truck Fatalities,21,20,21,19,24,21,21,23,23,27,36,32,288
Tennessee,Pedalcyclist Fatalities,4,5,8,8,5,10,9,8,8,7,13,7,92
Tennessee,Pedestrian Fatalities,87,80,67,80,86,104,97,121,136,148,172,177,"1,355"
Tennessee,Other Nonoccupant Fatalities,4,3,3,7,5,7,4,2,0,3,4,9,51
Tennessee,Other Vehicle Fatalities,12,17,16,17,23,9,20,15,19,17,27,35,227
Tennessee,Unknown Person Type Fatalities,0,0,0,0,0,0,0,0,0,0,0,0,0
Texas,Highway Fatalities,"3,023","3,054","3,408","3,389","3,536","3,582","3,797","3,732","3,648","3,619","3,876","4,498","43,162"
Texas,Passenger Car Fatalities,"1,033",982,"1,048","1,067","1,137","1,171","1,219","1,254","1,132","1,100","1,131","1,315","13,589"
Texas,SUV Fatalities,405,380,460,441,480,483,441,460,456,510,628,698,"5,842"
